,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
269,-0.94056433,-2.9458108,0.9691405,1.9704396,1.9019507,0.2809394,-0.27626276,-2.1269171,-0.031961724,0.7509262,1.3466144,1.8703492,-1.1779636,1.1924244,-0.9510448,0.12546185
270,-0.8196581,-3.0639648,0.9311981,1.9283015,1.9107052,0.34752315,-0.4215601,-1.946858,-0.020829167,0.8358848,1.5345786,2.0162137,-1.3105836,1.0745845,-0.9060489,0.048509005
271,-0.9162667,-2.9355097,1.0156374,1.9967636,1.9158578,0.28987646,-0.31382832,-2.0455353,-0.023307834,0.7180932,1.361259,1.9035739,-1.189289,1.1792185,-0.9490208,0.1082147
274,-0.8047327,-0.43922082,0.2161242,-0.002909225,-0.6625182,-0.053974226,-0.7276178,-1.0364741,-0.30644414,-0.36606812,-0.348486,-0.50940454,-0.047409732,-0.6051631,-0.3137153,-0.20741503
275,-1.0093101,-0.5176975,0.51555127,-0.15926434,-0.37230512,-0.09136696,-0.67491496,-0.22178222,-0.68529814,-0.067611694,-0.106343366,-0.43029848,0.11869821,-0.5282353,-0.25343454,-0.5843994
58,-1.2351514,-1.1207854,-1.333353,-0.39419633,-1.3877008,0.3374498,-0.45196456,1.1970106,0.4288232,-2.1168978,0.1575664,0.5498732,0.7164473,-0.9973374,-0.4665067,-0.54215604
59,-1.2232437,-1.177252,-1.2935677,-0.36905673,-1.3354274,0.37089312,-0.5265742,1.1581461,0.46078372,-2.0581543,0.0052262372,0.57799137,0.61033654,-1.0253065,-0.45691118,-0.62181973
60,-1.1649836,-1.1589466,-1.304214,-0.38834068,-1.3770585,0.32903442,-0.46480477,1.1575297,0.47798824,-2.0785952,0.099215984,0.5584183,0.70249283,-0.9802405,-0.44139957,-0.6055314
278,-0.4622375,0.53464353,0.7556793,1.1189331,0.7090275,0.9041548,0.06949034,1.1577753,0.30254894,3.7509468,0.8287506,2.5134792,1.3328664,-1.4389526,1.3684189,-1.2292459
279,-0.46348205,0.4578285,0.686758,1.0548228,0.7422467,0.89538825,0.080140404,1.2604129,0.42026412,3.8090641,0.78006023,2.4133856,1.2633898,-1.4660784,1.3114985,-1.3015367
280,-0.47083902,0.40564123,0.71742404,0.9746758,0.69419324,0.91259474,0.11204185,1.2005359,0.32349956,3.7838829,0.6746444,2.4630175,1.3537953,-1.4782244,1.3340708,-1.1519073
281,-0.4630953,0.35800284,0.73156935,1.0497223,0.6585114,1.019488,0.15268078,1.2681086,0.41952014,3.75701,0.7583646,2.4554493,1.2862618,-1.3988315,1.398898,-1.136219
282,-0.48390526,0.41238955,0.7090089,1.0058587,0.7142902,0.95566446,0.09249764,1.1808684,0.4076624,3.7902038,0.65336275,2.4669423,1.2406201,-1.5135454,1.3859785,-1.1955818
283,-0.47734627,0.36365038,0.6967215,1.0273553,0.6720769,1.038081,0.09274582,1.2670821,0.3865445,3.7845435,0.7637658,2.424601,1.309616,-1.3973376,1.419521,-1.0956848
284,-0.49279344,0.38760325,0.825095,1.1293658,0.6658645,1.029303,0.17263457,1.2033046,0.34565827,3.7488961,0.6905448,2.47906,1.3698804,-1.3790023,1.368209,-1.0916728
287,-1.0288116,-0.476075,0.66405165,0.8628956,-0.99474406,0.19066368,-0.08863906,0.39930007,0.65765315,1.3403525,-0.502483,-0.25917593,0.78134966,1.4839033,-0.4135806,-1.7374119
290,-1.1125393,-0.3297724,0.57238966,0.8351102,-1.0232502,0.12025957,-0.13703513,0.54136634,0.76273197,1.4205765,-0.50524527,-0.30537322,0.71544915,1.3618388,-0.5831422,-1.8905431
291,-0.9189356,-0.49134925,0.67260736,0.892406,-0.98459214,0.15637136,-0.10443339,0.38887766,0.64047647,1.4338413,-0.5450346,-0.31964862,0.79077446,1.4749928,-0.3708064,-1.8277909
292,-1.1587551,-0.3090534,0.5000631,0.8155646,-0.9891026,0.122522205,-0.16683644,0.5269307,0.7639951,1.3813539,-0.4797051,-0.30962074,0.7126883,1.3547958,-0.6358531,-1.8645734
304,-1.1491882,-0.3089854,0.48657182,0.8172592,-1.0289992,0.1463147,-0.17589694,0.48027197,0.7581618,1.3403497,-0.48166358,-0.29961506,0.69368,1.3858837,-0.6048404,-1.8469446
307,-1.1250942,-0.71029294,0.5180167,1.2162669,0.59809023,-0.63468504,0.9361924,1.0079422,1.3983926,0.7201597,-0.99635047,2.0577168,-3.0392983,-0.5870154,-0.008992627,0.6755007
308,-1.0554744,-0.7239712,0.3152879,1.2159023,0.57948506,-0.71091115,0.9068471,1.0797513,1.4039735,0.7990762,-1.0263225,2.0885231,-3.0706518,-0.62329507,-0.00409443,0.7325991
309,-1.1391689,-0.72091293,0.45339757,1.1225883,0.4587196,-0.6912063,0.9705205,1.0575564,1.3669505,0.7886371,-0.9618151,2.1044035,-3.054953,-0.49993008,-0.01712188,0.7466148
310,-1.0688783,-0.7652664,0.4059302,1.3276619,0.65263814,-0.6420266,0.8773413,1.0033813,1.4401859,0.7380099,-1.076835,2.1129496,-3.053929,-0.6351358,-0.041039884,0.70389783
311,-1.0642174,-0.7529788,0.31040442,1.2175252,0.5186912,-0.6998409,0.9322184,1.069296,1.334339,0.7032943,-0.9618342,2.1031463,-3.0812213,-0.57935965,0.04968259,0.7716863
329,-1.0478445,-0.81899637,0.40794164,1.241134,0.5464181,-0.7297716,0.9540671,1.0694835,1.2901942,0.68678254,-0.9467591,2.209385,-3.0558572,-0.5312967,0.045325875,0.76617444
332,-0.99457186,-0.4692106,-0.9275947,-1.229845,-0.9675665,-0.5890888,1.4702076,-2.2545679,-0.21793817,-3.0596032,-1.134189,-1.679481,-1.7203152,0.979213,-1.2966686,1.727032
333,-1.0594773,-0.51448816,-0.93424845,-1.3016499,-0.9433263,-0.5325976,1.4812121,-2.3025396,-0.23370063,-3.0696685,-1.1221287,-1.7062122,-1.6725883,0.9356236,-1.2682718,1.7038038
334,-1.042495,-0.47190621,-0.9412138,-1.3275357,-0.91344935,-0.587728,1.3780593,-2.255312,-0.2206025,-3.046456,-1.1215533,-1.7176933,-1.7712067,0.939968,-1.2842122,1.7548103
335,-0.9874467,-0.46654502,-0.9538475,-1.2726262,-0.96982133,-0.5634911,1.4808987,-2.2855299,-0.2553625,-3.0907452,-1.1809653,-1.7078162,-1.662543,0.9319872,-1.2837652,1.7544241
336,-1.0246693,-0.52209306,-0.9372319,-1.3423601,-0.9821026,-0.5452551,1.3927264,-2.3151333,-0.15222849,-3.0642543,-1.0458565,-1.7011372,-1.7283936,0.9391576,-1.2948875,1.7142801
342,-1.0532497,-0.47900987,-0.91953444,-1.3363681,-0.9689886,-0.5426459,1.3946637,-2.3203065,-0.17953846,-3.014869,-1.0992244,-1.6648842,-1.7687343,0.97436315,-1.338033,1.6645707
345,-0.8087936,-1.1315076,0.18088914,-1.1736854,0.56188315,-0.28226903,-2.151768,-0.124283515,0.20315868,-0.61866844,0.86928755,-0.19955549,-0.59404993,-0.7075567,-0.28352636,-0.16137129
346,-1.2970613,-0.74793166,-0.57563853,0.56347555,0.18296513,0.28072122,-1.9734151,-0.016540619,0.24589284,-1.3528565,0.49756524,0.26383513,0.6999139,-1.3203988,-0.5375897,-0.9693533
349,-0.5910815,0.3510891,-0.4392593,-0.11367656,-0.28835785,-0.97686607,1.6833806,-2.3438368,1.2894555,3.792382,1.0714005,-2.243823,-0.90678304,-0.20347776,0.21721548,1.5938507
350,-0.60327864,0.22177646,-0.5671385,-0.1994448,-0.24157506,-0.9266726,1.6365861,-2.382308,1.392443,3.8011317,1.078886,-2.286577,-1.1002704,-0.1795036,0.1751927,1.5417726
351,-0.55411917,0.29778585,-0.5448025,-0.0673613,-0.37255305,-0.9184195,1.6753538,-2.351345,1.3452264,3.7675025,1.1430607,-2.2514489,-0.9942157,-0.16048789,0.30387652,1.5816164
352,-0.64969283,0.26893383,-0.46990454,-0.2783982,-0.25850692,-0.9598743,1.6410648,-2.387145,1.3931555,3.8339975,0.94874203,-2.3344057,-0.9908124,-0.21194234,0.12211494,1.5570152
354,-0.61274326,0.43573245,-0.40422106,-0.2360259,-0.45568186,-1.0458677,1.7188468,-2.3110106,1.4169387,3.751067,1.1704575,-2.3236353,-0.8244871,-0.26327074,0.24994107,1.6579659
355,-0.6452389,0.41209042,-0.36284125,-0.33132994,-0.3001783,-0.9875433,1.5473797,-2.4184794,1.5222545,3.933068,1.0185199,-2.346629,-0.88958645,-0.27839124,0.12639394,1.480528
376,-0.63839823,0.38501027,-0.40824473,-0.3377117,-0.3647418,-0.9881739,1.6220994,-2.371135,1.5398145,3.8172393,1.053113,-2.392551,-0.8861976,-0.21507569,0.14283347,1.5340228
380,-0.59180033,0.39638072,-0.38395077,-0.17520165,-0.3149982,-0.965996,1.6768446,-2.3598108,1.2891788,3.8310173,1.2954544,-2.2648616,-0.7426808,-0.20827278,0.3027765,1.5311983
381,-0.65268886,0.3400796,-0.44556296,-0.3255133,-0.2755163,-0.9653182,1.5932797,-2.3778908,1.5000427,3.8725479,1.0877044,-2.3475933,-0.91207415,-0.23231956,0.099063285,1.457669
389,-0.6414029,0.37893167,-0.41570097,-0.32301942,-0.24747768,-0.9858402,1.5320867,-2.4144275,1.5290225,3.873324,1.07569,-2.349067,-0.9151817,-0.2835493,0.124080196,1.4111408
392,-0.5503957,1.0307672,0.5397817,1.4895939,-2.5172832,1.9350351,3.1461709,0.43252337,-2.3456573,0.60451436,-1.0774224,-0.49784178,-1.2202758,-2.250997,-0.7017184,-1.2283472
393,-0.61723197,0.86129147,0.5064297,1.5512109,-2.4217675,2.0163076,3.2280335,0.31739497,-2.3013904,0.6146349,-0.963101,-0.50463396,-1.1339837,-2.1905005,-0.7338857,-1.1867785
395,-0.53239685,1.0107032,0.57214653,1.5894766,-2.4899805,2.004877,3.2026742,0.33472726,-2.409019,0.6642897,-1.1241025,-0.5562682,-1.0659646,-2.277301,-0.82600754,-1.0982358
396,-0.55210435,0.97301763,0.58734375,1.5283489,-2.526718,1.9225967,3.2007082,0.36977062,-2.4180202,0.6435871,-1.0553857,-0.49136725,-1.1369557,-2.194154,-0.70136,-1.1502656
397,-0.5665642,1.0110167,0.46069342,1.5116035,-2.5411868,1.9247949,3.178796,0.44446948,-2.2739816,0.6228229,-1.1083959,-0.48134252,-1.2059745,-2.285842,-0.78493476,-1.1688867
399,-0.5162525,1.0501381,0.5543319,1.5146301,-2.5604703,1.9667468,3.263641,0.27868846,-2.311033,0.6060168,-1.0551019,-0.39148614,-1.1239796,-2.2408633,-0.7256848,-1.1843014
400,-0.55408746,0.9761392,0.5392461,1.5117985,-2.502945,1.93393,3.1217432,0.42534277,-2.4292722,0.6415435,-1.0335448,-0.47870022,-1.1617643,-2.2473848,-0.7495021,-1.1427693
401,-0.55960286,0.91230375,0.46918732,1.5324967,-2.4587195,1.9973526,3.269889,0.33596092,-2.2836466,0.62518185,-0.9939585,-0.4857799,-1.2101367,-2.181258,-0.7287457,-1.2421255
403,-0.5070695,1.0070698,0.40872306,1.500342,-2.5301843,1.9722513,3.0840638,0.46890256,-2.2808764,0.66987896,-1.1217964,-0.4767715,-1.2135632,-2.439446,-0.6792625,-1.2045665
404,-0.5552324,0.88519096,0.47140405,1.5140508,-2.4783974,1.9485267,3.2078495,0.40091044,-2.265487,0.6368688,-0.95395744,-0.4445684,-1.154138,-2.278249,-0.76732177,-1.2341542
410,-0.5529293,0.88490343,0.4147894,1.5420464,-2.4857452,1.9650644,3.2457016,0.3958197,-2.246156,0.6266175,-0.9456956,-0.46909684,-1.153382,-2.2609363,-0.7574188,-1.2586002
413,-1.1834625,-1.1893187,0.033926364,0.23996226,0.8233271,0.10138366,-0.5311653,-0.66771084,0.52146363,0.23867764,0.39613268,0.118208155,-0.6268091,-1.2257608,-0.58060163,-0.5887882
414,-1.0941945,-1.169089,0.0017891362,0.24547571,0.8386895,0.19301663,-0.4007139,-0.64726,0.5906878,0.13013558,0.34716415,0.16089231,-0.58110374,-1.1894038,-0.55919755,-0.55558044
415,-1.1596158,-1.2065158,0.045898348,0.21608697,0.8645105,0.2064972,-0.4524964,-0.67419434,0.54551804,0.17780645,0.35773015,0.13329381,-0.65835005,-1.1639557,-0.5306512,-0.5848623
418,-1.1395854,-1.0786145,0.11776888,-0.769966,0.20938084,1.2692434,-1.3265886,-1.3327315,-1.4643698,-0.10120253,-1.2477267,-0.4470402,-0.5514472,0.43973374,0.5156565,0.10302653
419,-2.35531,-0.70782435,0.46465632,-0.19679737,-0.7459109,0.8982778,-0.41846249,-0.16515438,-0.93089914,-0.19293076,-1.0384723,-0.7138669,-0.97632056,0.7765085,-0.19952846,-0.24797168
422,4.944926,-0.29379192,0.1175483,0.075007334,-0.19415179,0.038092986,0.00955361,0.019735383,0.17045271,-0.14706075,0.0073667364,0.11502567,0.04928757,-0.00010837546,-0.15200134,-0.015928954
